nivel1,nivel2,nivel3,nivel4,monto
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",666000000
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,132000000
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,1000000000
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,270 SERVICIO SOCIAL,SERVICIO SOCIAL,220000000
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,532840000
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,290 SERV. CAPACITACION Y ADIEST.,SERV. CAPACITACION Y ADIEST.,100000000
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,263000000
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,297134550
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",374577500
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,882420000
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,150000000
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,360 COMBUSTIBLES Y LUBRICANTES,COMBUSTIBLES Y LUBRICANTES,1313960610
JUNTA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,158800000
JUNTA MUNICIPAL,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,400000000
JUNTA MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,533330000
JUNTA MUNICIPAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,900000000
JUNTA MUNICIPAL,500 INVERSION FISICA,570 ADQ. DE ACTIVOS INTANGIBLES,ADQ. DE ACTIVOS INTANGIBLES,145000000
JUNTA MUNICIPAL,500 INVERSION FISICA,590 OTROS GASTOS DE INV. Y REP. MAYORES,OTROS GASTOS DE INV. Y REP. MAYORES,200000000
JUNTA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,BECAS,70000000
JUNTA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,APORTES ENT.EDUC. E INST. S/FINES DE L.,110000000
JUNTA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,INDEMNIZACIONES,215582200
JUNTA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,SUBS. Y ASIST. SOCIAL A PERS. Y FAM. DEL SECTOR PRIVADO,20000000
JUNTA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,OTRAS TRANS. CORRIENTES,541705450
JUNTA MUNICIPAL,800 TRANSFERENCIAS,850 TRANSF. CORR. AL SECTOR EXTERNO,TRANSF. CORR. AL SECTOR EXTERNO,16500000
JUNTA MUNICIPAL,900 OTROS GASTOS,"910 PAGO DE IMP.,TASAS, GASTOS JUD.","PAGO DE IMP.,TASAS, GASTOS JUD.",64000000
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,5833047480
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,228600000
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,505137290
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,862656840
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,266425430
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,1834129908
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,2738700000
INTENDENCIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,1975178010
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,36240000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,220 TRANSPORTE Y ALMACENAJE,TRANSPORTE Y ALMACENAJE,15000000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,700000000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",200000000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,10000000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,2000000000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,200000000
INTENDENCIA MUNICIPAL,200 SERVICIOS NO PERSONALES,290 SERV. CAPACITACION Y ADIEST.,SERV. CAPACITACION Y ADIEST.,100000000
INTENDENCIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,71000000
INTENDENCIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,82600000
INTENDENCIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",129798160
INTENDENCIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,170542700
INTENDENCIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,60567540
INTENDENCIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,130000000
INTENDENCIA MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,876780000
INTENDENCIA MUNICIPAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,200000000
INTENDENCIA MUNICIPAL,500 INVERSION FISICA,570 ADQ. DE ACTIVOS INTANGIBLES,ADQ. DE ACTIVOS INTANGIBLES,24930000
INTENDENCIA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSFERENCIAS CORRIENTES AL SECTOR PRIVADO,APORTES ENT.EDUC. E INST. S/FINES DE L.,300000000
INTENDENCIA MUNICIPAL,800 TRANSFERENCIAS,840 TRANSFERENCIAS CORRIENTES AL SECTOR PRIVADO,OTRAS TRANS. CORRIENTES,1500000000
INTENDENCIA MUNICIPAL,900 OTROS GASTOS,"910 PAGO DE IMP.,TASAS, GASTOS JUD.","PAGO DE IMP.,TASAS, GASTOS JUD.",4000000000
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,3351171720
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,281514310
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,374246708
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,425183017
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,256911096
INSTITUTO MUNICIPAL DE ARTE,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,269142835
INSTITUTO MUNICIPAL DE ARTE,200 SERVICIOS NO PERSONALES,220 TRANSPORTE Y ALMACENAJE,TRANSPORTE Y ALMACENAJE,5000000
INSTITUTO MUNICIPAL DE ARTE,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,3450000
INSTITUTO MUNICIPAL DE ARTE,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",54500000
INSTITUTO MUNICIPAL DE ARTE,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,184000000
INSTITUTO MUNICIPAL DE ARTE,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,29245000
INSTITUTO MUNICIPAL DE ARTE,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,25000000
INSTITUTO MUNICIPAL DE ARTE,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",14609000
INSTITUTO MUNICIPAL DE ARTE,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,34700000
INSTITUTO MUNICIPAL DE ARTE,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,16000000
INSTITUTO MUNICIPAL DE ARTE,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,13577500
INSTITUTO MUNICIPAL DE ARTE,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,70705000
INSTITUTO MUNICIPAL DE ARTE,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,20000000
INSTITUTO MUNICIPAL DE ARTE,800 TRANSFERENCIAS,830 OTRAS TRANSF. CORR. AL S. PUB. O PRIV.,OTRAS TRANSF. AL SECTOR PÚB.,30000000
FONACIDE - INTENDENCIA MUNICIPAL,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,13760805950
FONACIDE - INTENDENCIA MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,690700000
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1560364800
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,63000000
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,135280400
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,203844359
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,37712715
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,313890122
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,1606150000
DIRECCION GENERAL DE OBRAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,119600000
DIRECCION GENERAL DE OBRAS,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,5750000
DIRECCION GENERAL DE OBRAS,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",32025000
DIRECCION GENERAL DE OBRAS,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,70850000
DIRECCION GENERAL DE OBRAS,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,150500000
DIRECCION GENERAL DE OBRAS,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",33920950
DIRECCION GENERAL DE OBRAS,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,33496643
DIRECCION GENERAL DE OBRAS,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,24590000
DIRECCION GENERAL DE OBRAS,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,26162774
DIRECCION GENERAL DE OBRAS,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,700000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,13979453280
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,171000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,1179204440
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES TEMPORALES,REMUNERACION EXTRAORD.,345000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,110 REMUNERACIONES TEMPORALES,REMUNERACION ADICIONAL,200000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,BONIFICACIONES Y GRATIF.,4600000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,2387816888
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,192425430
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,8199156722
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,1440660000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,1263304160
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,13616000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,1000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",7000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,230000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,7800000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,369800000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,2000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,2000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",1199000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",1000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,5000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,469616000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,360 COMBUSTIBLES Y LUBRICANTES,COMBUSTIBLES Y LUBRICANTES,6000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,4000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,1000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,3000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,3000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,500 INVERSION FISICA,590 OTROS GASTOS DE INV. Y REP. MAYORES,OTROS GASTOS DE INV. Y REP. MAYORES,342000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,600 INVERSION FINANCIERA,630 PRÉSTAMOS AL SECTOR PRIVADO,PRÉSTAMOS AL SECTOR PRIVADO,200000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,600 INVERSION FINANCIERA,630 PRÉSTAMOS AL SECTOR PRIVADO,PRÉSTAMOS AL SECTOR PRIVADO,1000000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,800 TRANSFERENCIAS,830 OTRAS TRANSF. CORR. AL S. PUB. O PRIV.,APORTES A ENT.C/FINES SOC. O EMERG.NAC.,1900000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,800 TRANSFERENCIAS,830 OTRAS TRANSF. CORR. AL S. PUB. O PRIV.,TRANSF. A MUNICIPALIDADES,31220000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,800 TRANSFERENCIAS,830 OTRAS TRANSF. CORR. AL S. PUB. O PRIV.,"OTRAS TRAN. CORR. AL S. PUB. O PRIV., V.",3963000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,OTRAS TRANS. CORRIENTES,5020000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,900 OTROS GASTOS,"910 PAGO DE IMP.,TASAS, GASTOS JUD.","PAGO DE IMP.,TASAS, GASTOS JUD.",195000000
DIRECCION GENERAL DE ADMINISTRACION Y FINANZAS,900 OTROS GASTOS,920 DEVOL. DE IMP. Y OTROS ING. NO TRIBUT.,DEVOL. DE IMP. Y OTROS ING. NO TRIBUT.,300000000
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1994520360
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,168460030
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,BONIFICACIONES Y GRATIF.,1098830600
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,2414141788
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,20393389070
DIRECCION DE VIALIDAD,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,118563575
DIRECCION DE VIALIDAD,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,5999400
DIRECCION DE VIALIDAD,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",63999400
DIRECCION DE VIALIDAD,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,360000000
DIRECCION DE VIALIDAD,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,5999400
DIRECCION DE VIALIDAD,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,600000000
DIRECCION DE VIALIDAD,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,500000000
DIRECCION DE VIALIDAD,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",9290000
DIRECCION DE VIALIDAD,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,300000000
DIRECCION DE VIALIDAD,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,1500000000
DIRECCION DE VIALIDAD,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,500000000
DIRECCION DE VIALIDAD,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,15000000
DIRECCION DE VIALIDAD,500 INVERSION FISICA,590 OTROS GASTOS DE INV. Y REP. MAYORES,OTROS GASTOS DE INV. Y REP. MAYORES,300000000
DIRECCION DE VIALIDAD,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",1549600000
DIRECCION DE VIALIDAD,300 BIENES DE CONSUMO E INSUMOS,360 COMBUSTIBLES Y LUBRICANTES,COMBUSTIBLES Y LUBRICANTES,4200000000
DIRECCION DE VIALIDAD,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,4000000000
