anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_barrio_localidad,nombre_barrio_localidad,codigo_zona,nombre_zona,codigo_establecimiento,codigo_institucion,nombre_institucion,sector_o_tipo_gestion,codigo_region_administrativa,nombre_region_administrativa,nombre_supervisor,niveles_modalidades,codigo_tipo_organizacion,nombre_tipo_organizacion,participacion_comunitaria,direccion,nro_telefono,tiene_internet,paginaweb,correo_electronico,anho_cod_geo,uri_establecimiento,uri_institucion
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705130,COM INDIG GUIDA ICHAI,6,RURAL,1702024,15360,7404 JNACOIDE DOSAPEI,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,NO,COMUNIDAD INDIGENA GUIDA ICHAI,0982444139, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702024,http://datos.mec.gov.py/id/instituciones/15360
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705200,ISLA MARGARITA,6,RURAL,1702021,12388,7073 SAN MIGUEL,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,SI,FRENTE A LA FM RADIO ALTO PARAGUAY,0351230768,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702021,http://datos.mec.gov.py/id/instituciones/12388
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705210,PUERTO GUARANI - SUB URBANO,6,RURAL,1702005,7755,PUERTO GUARANI,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EEB,EM",3,ESCUELA INDEPENDIENTE,SI,A 28 KM DE FUERTE OLIMPO,0351230333,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702005,http://datos.mec.gov.py/id/instituciones/7755
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705210,PUERTO GUARANI - SUB URBANO,6,RURAL,1702006,10106,1456 DOMINGO M. DE IRALA,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,NO,A 28 KM DE FUERTE OLIMPO A ORILLAS DEL RÍO PARAGUAY, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702006,http://datos.mec.gov.py/id/instituciones/10106
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705002,VIRGEN DEL CARMEN,1,URBANA,1702007,9342,1268 PDT.CARLOS A. LOPEZ,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,SI,A 50 M. A ORILLA DEL RIO PARAGUAY,0351230768,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702007,http://datos.mec.gov.py/id/instituciones/9342
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705003,SAN BLAS,1,URBANA,1702009,8859,CAPITAN MARCIAL RAMIREZ,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EEB,EM",3,ESCUELA INDEPENDIENTE,NO,A ORILLAS DEL RIO PARAGUAY FRENTE A PUERTO MURTIÑO,0420211456,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702009,http://datos.mec.gov.py/id/instituciones/8859
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705200,ISLA MARGARITA,6,RURAL,1702010,8770,596 PROF. DR. LUIS MARIA ARGAÑA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EEB,1,ESCUELA CENTRO,NO,A ORILLAS DEL RIO PARAGUAY FRENTE A PTO. MURTINHO,0351230313,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702010,http://datos.mec.gov.py/id/instituciones/8770
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705225,PUERTO SASTRE - LA ESPERANZA SUB-URBANO,6,RURAL,1702011,6331,LA ESPERANZA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EEB,EM",3,ESCUELA INDEPENDIENTE,NO,A ORILLA DEL RIO PARAGUAY-700 KM DE LA CAPITAL, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702011,http://datos.mec.gov.py/id/instituciones/6331
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705225,PUERTO SASTRE - LA ESPERANZA SUB-URBANO,6,RURAL,1702011,8439,96 ALEJO GARCIA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,NO,A ORILLA DEL RIO PARAGUAY-700 KM DE LA CAPITAL,0984142216, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702011,http://datos.mec.gov.py/id/instituciones/8439
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705225,PUERTO SASTRE - LA ESPERANZA SUB-URBANO,6,RURAL,1702011,12193,17-21,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EBBJA,0, , ,A ORILLA DEL RIO PARAGUAY-700 KM DE LA CAPITAL, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702011,http://datos.mec.gov.py/id/instituciones/12193
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701999,LOCALIDAD A CONFIRMAR,6,RURAL,1701022,16758,DR. ANDRES RIVAROLA QUEIROLO,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EM,0, ,NO, , , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701022,http://datos.mec.gov.py/id/instituciones/16758
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701001,SAN MIGUEL,1,URBANA,1701001,4492,5865 (11537) SAN MIGUEL,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,SI,BARRIO SAN MIGUEL,0497281180,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701001,http://datos.mec.gov.py/id/instituciones/4492
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701240,COM INDIG VIRGEN SANTISIMA,6,RURAL,1701002,3970,2484,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",1,ESCUELA CENTRO,SI,S/D,0982595181,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701002,http://datos.mec.gov.py/id/instituciones/3970
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701002,MARIA AUXILIADORA,1,URBANA,1701003,2559,17-12 MARIA MADRE DOMINGO MAZZAR,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EBBJA,0, , ,GRAL. BERNARDINO CABALLERO C/RIO PARAGUAY, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701003,http://datos.mec.gov.py/id/instituciones/2559
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701002,MARIA AUXILIADORA,1,URBANA,1701003,3918,6279 (566) MONSEÐOR ANGEL MUZOLON,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EM,3,ESCUELA INDEPENDIENTE,SI,GRAL. BERNARDINO CABALLERO C/RIO PARAGUAY,0497281094,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701003,http://datos.mec.gov.py/id/instituciones/3918
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701001,SAN MIGUEL,1,URBANA,1701004,3467,117 MAYOR RAMON BEJARANO,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB,EM",1,ESCUELA CENTRO,SI,GRAL. BERNARDINO CABALLERO Y RIO PARAGUAY,0497281034,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701004,http://datos.mec.gov.py/id/instituciones/3467
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701230,ZONA TORO PAMPA OESTE,6,RURAL,1701011,2328,MONSEÑOR ALEJO OBELAR - ÑU APUA,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EEB,2,ESCUELA ASOCIADA,SI,ÑU APUA,0497281160,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701011,http://datos.mec.gov.py/id/instituciones/2328
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701230,ZONA TORO PAMPA OESTE,6,RURAL,1701011,2892,2390 MONSEÑOR ALEJO OBELAR C.,PRIV.SUBVENCIONADA,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EEB,2,ESCUELA ASOCIADA,NO,ÑU APUA,0497281160,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701011,http://datos.mec.gov.py/id/instituciones/2892
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701230,ZONA TORO PAMPA OESTE,6,RURAL,1701011,2892,2390 MONSEÑOR ALEJO OBELAR C.,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EM,2,ESCUELA ASOCIADA,NO,ÑU APUA,0497281160,SI, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701011,http://datos.mec.gov.py/id/instituciones/2892
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701150,ZONA RIBERA OLIMPO,6,RURAL,1701012,2870,1277 CNEL. DIM SR.SAMPSON HARRISON,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EEB,2,ESCUELA ASOCIADA,SI,EX OBRAJE SAN CARLOS A 30 KM DE TORO PAMPA,0971 958070,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701012,http://datos.mec.gov.py/id/instituciones/2870
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701180,TORO PAMPA SUB-URBANO,6,RURAL,1701013,2798,5868 (12988),OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,SI,TORO POMPA, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701013,http://datos.mec.gov.py/id/instituciones/2798
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701180,TORO PAMPA SUB-URBANO,6,RURAL,1701013,13131,17-20,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EBBJA,0, , ,TORO POMPA, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701013,http://datos.mec.gov.py/id/instituciones/13131
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701150,ZONA RIBERA OLIMPO,6,RURAL,1701015,1077,14499,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,NO,PTO MARIA ELENA,0982391562,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701015,http://datos.mec.gov.py/id/instituciones/1077
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701999,LOCALIDAD A CONFIRMAR,6,RURAL,1701019,16240,S/N - LOC. MADREJON,OFICIAL,16C1R1,BOQUERON - REGION 1 - COORDINACION 1,MARIA GRACIELA MARTINEZ DE PINTOS,"EI,EEB",2,ESCUELA ASOCIADA,SI,GANADERA MADREJON, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701019,http://datos.mec.gov.py/id/instituciones/16240
2012,17,ALTO PARAGUAY,1701,FUERTE OLIMPO,1701999,LOCALIDAD A CONFIRMAR,1,URBANA,1701021,2441,17-9,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EBBJA,0, , , , , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701021,http://datos.mec.gov.py/id/instituciones/2441
2012,17,ALTO PARAGUAY,1703,MAYOR P. LAGERENZA,1703999,LOCALIDAD A CONFIRMAR,6,RURAL,1703004,3010,5880 (12873) SANTA ROSA DE LIMA,OFICIAL,16C1R1,BOQUERON - REGION 1 - COORDINACION 1,MARIA GRACIELA MARTINEZ DE PINTOS,"EI,EEB",2,ESCUELA ASOCIADA,SI,TTE.MARTINEZ, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1703004,http://datos.mec.gov.py/id/instituciones/3010
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702004,SAN MIGUEL,1,URBANA,1702003,869,17-16,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EBBJA,FPI",0, , ,AVDA. DE LA VICTORIA KM.2, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702003,http://datos.mec.gov.py/id/instituciones/869
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702280,ZONA PUERTO CASADO,6,RURAL,1702013,15987,17-25,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EBBJA,0, , ,35 KM DE PUERTO CASADO, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702013,http://datos.mec.gov.py/id/instituciones/15987
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702280,ZONA PUERTO CASADO,6,RURAL,1702013,8107,3730,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",1,ESCUELA CENTRO,NO,35 KM DE PUERTO CASADO,0984451445,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702013,http://datos.mec.gov.py/id/instituciones/8107
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702002,DON BOSCO,1,URBANA,1702001,7940,97 JUAN DE AYOLAS,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",1,ESCUELA CENTRO,SI,AVENIDA SAN RAMON,0499283043,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702001,http://datos.mec.gov.py/id/instituciones/7940
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702001,SANTA TERESITA,1,URBANA,1702012,868,1458 TTE.1º F. FERNANDEZ,OFICIAL,01C1R5,CONCEPCION - REGION 5 - COORDINACION 1,LIC.LILIANA PAREDES RODRIGUEZ,EEB,2,ESCUELA ASOCIADA,SI,ISLA PEÑA HERMOSA. AL COSTADO DE LA BASE NAVAL MARINA.,0982610289,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702012,http://datos.mec.gov.py/id/instituciones/868
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702002,DON BOSCO,1,URBANA,1702002,7893,297 JARDIN DE INFANTES MARIA AUXILIADORA,PRIV.SUBVENCIONADA,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EI,2,ESCUELA ASOCIADA,SI,DON BOSCO,0981733447,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702002,http://datos.mec.gov.py/id/instituciones/7893
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702340,COM INDIG RIACHO MOSQUITO,6,RURAL,1702016,7895,4710 SANTA TERESITA DEL NIÑO JESUS,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,SI,CASILDA,0985254918, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702016,http://datos.mec.gov.py/id/instituciones/7895
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702180,LAS PALMAS -REGION 180,6,RURAL,1656012,10128,4685 KM. 145,PRIVADA,16C1R1,BOQUERON - REGION 1 - COORDINACION 1,MARIA GRACIELA MARTINEZ DE PINTOS,EEB,2,ESCUELA ASOCIADA,NO,160 KM (KM 145),0492252558,SI, ,estadisticaprim@gmail.com,2012,http://datos.mec.gov.py/id/establecimientos/1656012,http://datos.mec.gov.py/id/instituciones/10128
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702999,LOCALIDAD A CONFIRMAR,6,RURAL,1702026,16084,7875  MARIA  AUXILIADORA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,NO,COUMNIDAD INGIGENA MARIA AUXIIADORA KM. 40,0982817810,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702026,http://datos.mec.gov.py/id/instituciones/16084
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702004,SAN MIGUEL,1,URBANA,1702003,7600,2894 (11546) GRAL B.CABALLERO,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,NO,AVDA. DE LA VICTORIA KM.2,0981216066,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702003,http://datos.mec.gov.py/id/instituciones/7600
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702001,SANTA TERESITA,1,URBANA,1702008,9140,1154 CEFERINO NAMONCURA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EEB,2,ESCUELA ASOCIADA,NO,PTO.MARIA AUYXILIADORA KM.10 AL SUR DE CARMELO PERALTA,0982567309,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702008,http://datos.mec.gov.py/id/instituciones/9140
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702002,DON BOSCO,1,URBANA,1702004,6068,1155 DOMINGO SAVIO,PRIV.SUBVENCIONADA,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB,EM",1,ESCUELA CENTRO,SI,MANUEL LEZCANO C/ SAN RAMON,0984359908,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702004,http://datos.mec.gov.py/id/instituciones/6068
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702999,COM INDIG RIACHO MOSQUITO,6,RURAL,1702016,16635,RIACHO MOSQUITO,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EM,0, ,NO,COMUNIDAD INDIGENA RIACHO MOSQUITO,0983505552, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702016,http://datos.mec.gov.py/id/instituciones/16635
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702002,DON BOSCO,1,URBANA,1702004,6688,17-3 DOMINGO SAVIO,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EBBJA,FPI",0, , ,MANUEL LEZCANO C/ SAN RAMON, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702004,http://datos.mec.gov.py/id/instituciones/6688
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702002,DON BOSCO,1,URBANA,1702023,6831,JUANA MARIA DE LARA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EEB,EM",3,ESCUELA INDEPENDIENTE,NO,SAN RAMON NONATO Y DE LA VOCTORIA,0982729653,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702023,http://datos.mec.gov.py/id/instituciones/6831
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702999,LOCALIDAD A CONFIRMAR,6,RURAL,1702027,16085,7587 PARCIALIDAD AYOREO,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,NO,COMUNIDAD INDIGENA TIOGÁI - AYOREO,0982567309, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702027,http://datos.mec.gov.py/id/instituciones/16085
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702999,LOCALIDAD A CONFIRMAR,6,RURAL,1702029,16432,7685 SIN NOMBRE,OFICIAL,16C1R4,BOQUERON - REGION 4 - COORDINACION1,GUSTAVO ANDRES PAREDES NÚÑEZ,"EI,EEB",2,ESCUELA ASOCIADA,SI,S/D,0491432599,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702029,http://datos.mec.gov.py/id/instituciones/16432
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702320,COM INDIG MACHETE VAINA,6,RURAL,1702014,8272,14708,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",2,ESCUELA ASOCIADA,NO,ASENTAMIENTO MACHETE VAINA,0984322565,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1702014,http://datos.mec.gov.py/id/instituciones/8272
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702340,COM INDIG RIACHO MOSQUITO,6,RURAL,1702016,16273,17-26,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EBBJA,0, , ,CASILDA, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702016,http://datos.mec.gov.py/id/instituciones/16273
2012,17,ALTO PARAGUAY,1702,PUERTO CASADO,1702999,LOCALIDAD A CONFIRMAR,6,RURAL,1702032,16717,7874 PADRE LIVIO FARIÑA,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EI,2,ESCUELA ASOCIADA,NO,ASENTAMIENTO PADRE LIVIO FARIÑA, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702032,http://datos.mec.gov.py/id/instituciones/16717
